电影名称@电影类型 
放牛班的春天@剧情/音乐 
如果能再爱一次@爱情 
闰年@ 
断箭@动作，冒险，喜剧 
摩托日记@剧情 
打，打个大西瓜@动画片 
一夜迷情@爱情，剧情 
目击者之追凶@悬疑、惊悚、犯罪 
情圣@爱情、喜剧 
萤火虫之墓@动画，剧情，灾难 
裁缝@ 
天龙八部之天山童姥@武侠、剧情 
独家试爱@爱情，喜剧 
关羽@ 
你好，疯子！@ 
爱情是狗娘@剧情 
绿茶@ 
非凡任务@动作、犯罪、警匪、剧情 
疾速追杀@动作，惊悚，犯罪 
98古惑仔之龙争虎斗@动作 
羞羞的铁拳@剧情、喜剧、爱情、奇幻 
无耻混蛋@动作，冒险，战争，剧情 
鹰眼@ 
铁皮鼓@剧情 
心动@爱情 
每当变幻时@喜剧 
海啸奇迹@剧情 
整编特工@爱情 
整编特工@爱情 
飞越老人院@喜剧 
和你在一起@剧情，音乐 
美国派3：美国婚礼@爱情、喜剧 
咒怨2@恐怖，惊悚 
老男孩@剧情、短片 
唐璜@剧情 
千王之王2000@喜剧 
寻找小糖人@纪录片、传记、音乐 
黄河绝恋@剧情、战争、历史、军事、爱情 
乱@剧情、动作、战争 
远在天边@ 
亚当@ 
活死人黎明@动作、恐怖、科幻 
决战猩球@动作、科幻、惊悚、冒险 
十月围城@战争、爱情、年代 
双雄@动作 
公主与穷太郎@爱情喜剧 
千王之王2000@喜剧 
你眼中的世界@喜剧、爱情、科幻 
大事件@ 
卡拉是条狗@ 
走到尽头@动作/犯罪/惊悚 
未来警察@科幻 
等一个人咖啡@青春，爱情，喜剧 
刀锋战士Ⅱ@动作，恐怖，惊悚 
钢琴家@ 
蕾切尔的婚礼@剧情，爱情，家庭 
虎胆龙威2@动作、惊险 
触不到的恋人@爱情 
无敌幸运星@喜剧，动作 
冲出亚马逊@军事，动作 
平常心@剧情 
封神传奇@奇幻、动作、古装 
相见恨早@爱情 
绝世天劫@动作，科幻 
给爸爸的信@剧情、动作 
史前一万年@科幻、冒险、剧情 
唐人街探案@喜剧、悬疑、动作、侦探 
杀出个黎明@喜剧/惊悚 
歌舞青春2@剧情 
饺子@ 
黑夜传说前传：狼族再起@动作/冒险/奇幻/ 
六指琴魔@爱情、剧情、动作 
猴子捞月@动画、美术片 
猎杀本·拉登@历史 / 惊辣 / 剧情 
猎杀本·拉登@历史 / 惊辣 / 剧情 
亚伯拉罕·林肯@ 
商标的世界@动作、犯罪、短片 
查理和巧克力工厂@喜剧，家庭，奇幻，冒险 
我老婆未满十八岁@爱情 
大话西游之月光宝盒@喜剧，爱情，动作，奇幻，冒险 
青春期@励志、青春系列、微电影 
逃出生天@剧情 
看得见风景的房间@剧情 
魔法奇幻秀@冒险、悬疑、科幻 
双瞳@惊悚/悬疑 
龙纹身的女孩@剧情，悬疑，惊悚，犯罪 
秘密窗@惊悚 、 剧情 、 恐怖 
我要复仇@剧情 / 惊悚 / 犯罪 
楚门的世界@剧情 
爱乐之城@喜剧/剧情/音乐 
蝴蝶效应@科幻，惊悚，剧情 
搜索@剧情 
热天午后@犯罪、喜剧 
痞子英雄之黎明升起@动作、灾难、警匪、爱情、 
痞子英雄之黎明升起@动作、灾难、警匪、爱情、 
黑店狂想曲@喜剧、犯罪 
精灵鼠小弟2@奇幻、家庭、冒险、喜剧 
死在西部的一百万种方式@西部、喜剧 
全城戒备@剧情/科幻/动作 
潜伏2@恐怖，惊悚 
逃出克隆岛@动作 
枪王@剧情 
给小桃的信@剧情、动画 
曾经@剧情，爱情，音乐 
微不足道@喜剧 
隐藏人物@剧情 
的士速递2@喜剧，动作，犯罪 
NANA2@爱情 
夜·上海@爱情/剧情 
美国黑帮@剧情，犯罪 
副作用@ 
栀子花开@青春，校园，爱情 
守望者@动作，惊悚，剧情，科幻 
珍爱人生@剧情 
夺宝奇兵4@动作 
夺宝奇兵4@动作 
共同警备区@战争/惊悚/剧情 
卡巴拉生命之树@ 
极地特快@动画 
极地特快@动画 
无翼鸟@ 
流浪猫鲍勃@传记、剧情 
恶搞之家@ 
古墓丽影2@动作/冒险/奇幻/惊悚 
攻壳机动队2：无罪@科幻、动画 
我的特工女友@动作 
傻瓜@喜剧，爱情 
爱丽丝梦游仙境@家庭，奇幻，冒险 
危城@动作、武侠 
兔子洞@剧情/家庭/情感 
生人勿进@恐怖 
落魄大厨@喜剧 
福尔摩斯先生@犯罪，剧情，悬疑 
福音战士新剧场版：序@ 
破风@剧情、运动、爱情 
明亮的星@爱情、剧情 
南郭先生@ 
醉拳Ⅱ@动作 
变形金刚3@动作，科幻，冒险 
行运一条龙@喜剧 
时光尽头的恋人@浪漫、悬疑、剧情 
青春爱欲吻@剧情 
A计划续集@动作，喜剧，剧情 
忠奸人@时装 / 嫌疑 / 剧情 
硫磺岛家书@剧情 / 历史 / 战争 
逃出绝命镇@恐怖、惊悚 
贝利叶一家@剧情、喜剧 
圣殇@剧情 
爆裂鼓手@剧情，音乐 
电梯里的恶魔@惊悚  
唐顿庄园：2011圣诞特别篇@剧情 
女孩梦三十@爱情 
亚瑟王：斗兽争霸@奇幻、动作、冒险 
大城小事@都市浪漫爱情 
罪恶之家@惊悚，悬疑，剧情，家庭 
大丈夫@伦理、都市、爱情 
醉拳@动作、喜剧 
007之择日而亡@动作、谍战、冒险 
处刑人@犯罪，剧情，惊悚，动作 
海底总动员@喜剧，动画，家庭，冒险 
大话西游之大圣娶亲@喜剧，爱情，动作，奇幻，冒险 
大话西游之大圣娶亲@喜剧，爱情，动作，奇幻，冒险 
堕落的艺术@动画，短片，喜剧 
我爱你@爱情，剧情 
热血高校@动作 
笑林小子Ⅱ之新乌龙院@喜剧 
暗恋桃花源@ 
时光倒流七十年@剧情、奇幻 
罪恶之城2@动作，惊悚，犯罪 
倔强萝卜@喜剧，剧情 
奇异博士@奇幻、动作、冒险 
超新约全书@喜剧、奇幻 
胡佛@传记 
胡佛@传记 
托斯卡纳艳阳下@剧情 
桃花运@都市、爱情、轻喜 
新桥恋人@爱情、剧情 
一半海水一半火焰@剧情 
独家新闻@爱情、奇幻、喜剧 
杀人漫画@犯罪、恐怖、惊悚 
一个百万富翁的初恋@爱情 
环游世界八十天@剧情、科幻、冒险 
艋舺@动作，剧情 
地球停转之日@科幻  
黑客帝国动画版@科幻，动画 
糊涂侦探@犯罪 
另一个波琳家的女孩@剧情，爱情，历史 
人类清除计划@科幻，恐怖，悬疑，剧情  
一个字头的诞生@动作 喜剧 
猜火车2@剧情 
四大名捕大结局@剧情、武侠、爱情、动作、古装 
我的失忆男友@喜剧，爱情 
天若有情@动作 
天若有情@动作 
五个扑水的少年@喜剧 
青木瓜之味@爱情、剧情 
阿郎的故事@剧情，亲情 
求爱上上签@剧情 
彼得·潘@ 
露水红颜@爱情、剧情 
伸冤人@动作，犯罪，惊悚 
笔仙@惊悚、恐怖、剧情 
笔仙@惊悚、恐怖、剧情 
空中大灌篮@喜剧，动画，科幻 
尖峰时刻3@动作，犯罪 
源代码@科幻 
源代码@科幻 
冰雪奇缘@喜剧、动画、冒险 
深海寻人@惊悚 
老手@犯罪，动作，剧情 
尼斯湖怪：深水传说@奇幻 
摔角王@运动、剧情 
纯真时代@爱情，剧情，历史 
辛亥革命@ 
龙凤店@动作、古装、爱情 
龙凤店@动作、古装、爱情 
血色将至@犯罪，西部，剧情，历史 
寒战@动作，剧情 
栀子花开@青春，校园，爱情 
爱的发声练习@爱情、家庭伦理 
寒战@动作，剧情 
超能失控@科幻 
宅@ 
金色梦乡@惊悚 
古今大战秦俑情@奇幻古装，神话穿越 
柏林@ 
传染病@ 
LEGAL HIGH@喜剧 
冒牌天神2@喜剧 
滚滚红尘@爱情 
莎翁情史@爱情/剧情/历史 
小鬼当家@动作/家庭/喜剧/犯罪 
大奥@历史剧情 
不可饶恕@惊悚 
法官老爹@剧情 
早间主播@剧情、喜剧、爱情 
白银帝国@剧情、情感 
大独裁者@喜剧，剧情 
巴尔扎克和小裁缝@爱情 
箭士柳白猿@武侠、剧情、古装 
箭士柳白猿@武侠、剧情、古装 
活埋@悬疑 
江湖@剧情 
初恋50次@爱情 
第九道门@剧情 
科洛弗道10号@剧情、悬疑、科幻 
猫屎一号@战斗 
如月疑云@悬疑 
恋恋书中人@剧情、喜剧、爱情、奇幻 
明日如歌@青春、爱情、音乐 
年轻的维多利亚@剧情、爱情、历史 
心理游戏@动作 冒险 悬疑 惊悚[3]  
奇幻精灵事件簿@冒险 
奇幻精灵事件簿@冒险 
金氏漂流记@剧情、另类、喜剧、爱情 
金氏漂流记@剧情、另类、喜剧、爱情 
南方公园@美剧，动画 
南方公园@美剧，动画 
城南旧事@ 
007之黄金眼@动作、惊悚、冒险 
王朝的女人·杨贵妃@爱情、古装 
男人百分百@爱情、喜剧 
我是谁：没有绝对安全的系统@推理 高智商 
龙的传人@ 
唐山大地震@ 
孤岛惊魂@剧情 
谜城@动作 / 惊悚 / 犯罪 
李献计历险记@国产动画片 爱情 穿越 
意外的幸运签@剧情、奇幻、悬疑 
内布拉斯加州@ 
好奇害死猫@剧情/爱情/悬疑/惊悚 
一念无明@剧情 
